Train/Valid/Test,HoV (kJ/mol),HoV_pred_lit,AE_lit,smiles,temperature,num_heavy_atoms,Error
Train,31.5,31.35,0.14999999999999858,CCCC=O,347.94,5,0.01
Train,31.3,30.81,0.490000000000002,CCC(C)=O,352.79,5,0.01
Train,29.81,28.25,1.5599999999999987,C1CCOC1,339.12,5,0.01
Train,33.61,32.86,0.75,CCCOC=O,353.97,6,0.01
Test,31.94,32.78,0.8399999999999999,CCOC(C)=O,350.21,6,0.01
Train,32.24,32.12,0.12000000000000455,CCC(=O)OC,352.6,6,0.01
Test,34.37,32.15,2.219999999999999,C1COCOC1,378.15,6,0.01
Train,34.16,34.06,0.09999999999999432,C1COCCO1,374.47,6,0.01
Train,22.44,22.32,0.120000000000001,CCCC,272.65,4,0.01
Train,21.3,20.69,0.6099999999999994,CC(C)C,261.43,4,0.01
Train,43.29,40.56,2.729999999999997,CCCCO,391.9,5,0.01
Train,40.75,39.21,1.5399999999999991,CCC(C)O,372.9,5,0.01
Train,41.82,40.0,1.8200000000000003,CC(C)CO,380.81,5,0.01
Train,39.07,37.57,1.5,CC(C)(C)O,355.57,5,0.01
Train,26.52,25.73,0.7899999999999991,CCOCC,307.58,5,0.01
Train,26.75,26.42,0.3299999999999983,CCCOC,312.2,5,0.01
Train,26.05,25.5,0.5500000000000007,COC(C)C,303.92,5,0.01
Test,52.84,54.51,1.6699999999999946,CCC(O)CO,469.57,6,0.01
Train,54.31,54.92,0.6099999999999994,CC(O)CCO,481.38,6,0.01
Train,39.22,44.26,5.039999999999999,CCOCCO,408.15,6,0.01
Train,32.42,32.51,0.0899999999999963,COCCOC,357.75,6,0.01
Test,43.2,40.78,2.4200000000000017,O=Cc1ccco1,434.85,7,0.01
Test,53.6,49.03,4.57,OCc1ccco1,443.15,7,0.01
Train,26.76,25.4,1.360000000000003,C1CC12CC2,312.19,5,0.01
Train,34.07,32.12,1.9500000000000028,CC(=O)C1CC1,387.2,6,0.01
Test,36.35,35.1,1.25,O=C1CCCC1,403.8,6,0.01
Test,35.25,33.44,1.8100000000000023,COC(=O)C1CC1,388.0,7,0.01
Test,36.3,36.63,0.3300000000000054,C=CCOC(C)=O,377.15,7,0.01
Train,34.7,34.51,0.19000000000000483,C=CC(=O)OCC,372.65,7,0.01
Test,36.0,34.6,1.3999999999999986,C=C(C)C(=O)OC,373.45,7,0.01
Train,25.2,25.62,0.4200000000000017,C=CCCC,303.22,5,0.01
Train,25.5,25.56,0.05999999999999872,C=C(C)CC,304.305,5,0.01
Train,26.31,26.36,0.05000000000000071,CC=C(C)C,311.705,5,0.01
Test,27.3,27.15,0.15000000000000213,C1CCCC1,322.4,5,0.01
Train,33.44,33.36,0.0799999999999983,CCCC(C)=O,375.46,6,0.01
Train,33.45,32.3,1.1500000000000057,CCC(=O)CC,375.14,6,0.01
