,DDB index,molecule_1,molecule_2,molecule_3,molecule_4,x1 [mol/mol],x2 [mol/mol],x3 [mol/mol],x4 [mol/mol],T [K],p_cosmo,p_ddb,p_cosmo_plus1K,hov_cosmo,hov_baseline
8703,12238,C1CCCCC1,Cc1cccc(C)c1,---,---,0.6092,0.3908,0.0,0.0,298.15,8.676485070830092,9.071,9.088829551370022,34.43144462620969,43.607206296
8704,12239,C1CCCCC1,Cc1cccc(C)c1,---,---,0.6729,0.3270999999999999,0.0,0.0,298.15,9.25415952943464,9.773,9.693986244685323,34.43363407185238,43.654623302000005
8705,12240,C1CCCCC1,Cc1cccc(C)c1,---,---,0.7361,0.2639,0.0,0.0,298.15,9.817571574373606,10.286,10.284215064390882,34.43646292471779,43.701668118
8706,12241,C1CCCCC1,Cc1cccc(C)c1,---,---,0.8322,0.1677999999999999,0.0,0.0,298.15,10.675584150080825,11.308,11.182934034857574,34.43141023396091,43.773203036
8707,12242,C1CCCCC1,Cc1cccc(C)c1,---,---,0.914,0.0859999999999999,0.0,0.0,298.15,11.430351052260576,12.122,11.973191675607572,34.407933657242296,43.83409332
8708,12243,C1CCCCC1,Cc1cccc(C)c1,---,---,1.0,0.0,0.0,0.0,298.15,12.27810077188712,13.047,12.860239011333205,34.3524044637507,43.89811
8717,12253,CCCCCC,CCCCO,---,---,0.073,0.927,0.0,0.0,373.05,98.99672757387626,101.33,102.22299282465109,37.207422472876914,42.38808213400001
8718,12254,CCCCCC,CCCCO,---,---,0.192,0.808,0.0,0.0,356.85,93.59581365893104,101.33,96.60916944525218,33.64478176262799,42.03394816
8719,12255,CCCCCC,CCCCO,---,---,0.274,0.726,0.0,0.0,350.75,91.78754834488714,101.33,94.76630272843909,32.7616153676904,41.217754799999994
8720,12257,CCCCCC,CCCCO,---,---,0.486,0.514,0.0,0.0,343.95,93.30085881329155,101.33,96.3813688962336,32.04437279297992,38.169526038
8721,12258,CCCCCC,CCCCO,---,---,0.547,0.4529999999999999,0.0,0.0,343.05,94.1218453095426,101.33,97.23925222322204,31.97594463925637,37.17057035
8722,12259,CCCCCC,CCCCO,---,---,0.67,0.3299999999999999,0.0,0.0,342.15,96.68384856622912,101.33,99.89387627094013,31.88451123002449,35.0559879
8723,12260,CCCCCC,CCCCO,---,---,0.768,0.2319999999999999,0.0,0.0,341.95,99.16489114847872,101.33,102.4539920116542,31.81588924354341,33.31832288
8724,12261,CCCCCC,CCCCO,---,---,0.834,0.166,0.0,0.0,341.75,100.21955318035174,101.33,103.54124604572658,31.75626623935517,32.152477304
8725,12262,CCCCCC,CCCCO,---,---,0.901,0.0989999999999999,0.0,0.0,341.65,101.32708392768298,101.33,104.67676987247933,31.656676659495982,30.959324634999994
8743,12287,CCO,CC(C)O,---,---,0.124,0.876,0.0,0.0,355.05,101.82465267937012,101.33,105.7532503326205,39.79009117230096,36.567473387999996
8744,12288,CCO,CC(C)O,---,---,0.24,0.76,0.0,0.0,354.55,101.89917301537714,101.33,105.83344883924666,39.70601858337533,36.398554319999995
8745,12289,CCO,CC(C)O,---,---,0.2425,0.7575000000000001,0.0,0.0,354.45,101.5547866996106,101.33,105.47817087618876,39.70753970795844,36.4047850225
8746,12290,CCO,CC(C)O,---,---,0.348,0.652,0.0,0.0,354.15,102.14889903822674,101.33,106.09400412232604,39.62830793955319,36.229484387999996
8747,12291,CCO,CC(C)O,---,---,0.4555,0.5445,0.0,0.0,353.65,101.93333810513252,101.33,105.87421608714196,39.55701282888945,36.06753929
8748,12292,CCO,CC(C)O,---,---,0.457,0.5429999999999999,0.0,0.0,353.65,101.9569188119364,101.33,105.89858549708646,39.55580201607627,36.06453746
8749,12293,CCO,CC(C)O,---,---,0.552,0.4479999999999999,0.0,0.0,353.35,102.260649383787,101.33,106.21418086279638,39.49001594087698,35.903492103999994
8750,12294,CCO,CC(C)O,---,---,0.559,0.4409999999999999,0.0,0.0,353.25,101.97820226144204,101.33,105.9228493969286,39.48769285472557,35.899045216
8751,12295,CCO,CC(C)O,---,---,0.6135,0.3864999999999999,0.0,0.0,353.05,102.01858448540202,101.33,105.96566817047815,39.45163208586892,35.8077858925
8752,12296,CCO,CC(C)O,---,---,0.7425,0.2574999999999999,0.0,0.0,352.55,101.94464425501054,101.33,105.89181086764106,39.36893338770312,35.590069375
8753,12297,CCO,CC(C)O,---,---,0.8295,0.1704999999999999,0.0,0.0,352.25,101.98771361361432,101.33,105.937707648849,39.31338215649557,35.4367360865
8754,12298,CCO,CC(C)O,---,---,0.8335,0.1664999999999999,0.0,0.0,352.25,102.04234426153324,101.33,105.9941566052198,39.31047790100961,35.4284714745
8755,12299,CCO,CC(C)O,---,---,0.915,0.0849999999999999,0.0,0.0,351.95,101.97009213225324,101.33,105.92076197604196,39.259786260808994,35.28410229
8760,12309,CCCCCC,C1CCCCC1,c1ccccc1,---,0.12,0.393,0.487,0.0,283.15,7.617216386437098,7.822,8.029393211097142,35.25284502197505,38.78174143
8761,12310,CCCCCC,C1CCCCC1,c1ccccc1,---,0.15,0.482,0.368,0.0,283.15,7.707442627110877,7.885,8.122420175703688,35.08143294536626,39.16907148
8762,12311,CCCCCC,C1CCCCC1,c1ccccc1,---,0.215,0.495,0.29,0.0,283.15,7.929866566089101,8.09,8.353532039451004,34.81820718524942,38.976620520000004
8763,12312,CCCCCC,C1CCCCC1,c1ccccc1,---,0.336,0.404,0.2599999999999999,0.0,283.15,8.430738976499423,8.566,8.876769917633698,34.487122127730856,37.957487448
8764,12313,CCCCCC,C1CCCCC1,c1ccccc1,---,0.251,0.256,0.493,0.0,283.15,8.394466568427978,8.427,8.842044612236807,34.74940784463144,37.457634598
8765,12314,CCCCCC,C1CCCCC1,c1ccccc1,---,0.179,0.136,0.6849999999999999,0.0,283.15,8.094405836993456,8.123,8.527184233301542,34.84348091180636,37.065006022
8766,12315,CCCCCC,C1CCCCC1,c1ccccc1,---,0.333,0.112,0.555,0.0,283.15,8.946934847827968,8.723,9.41940184316258,34.42509286029323,36.294669194
8767,12316,CCCCCC,C1CCCCC1,c1ccccc1,---,0.527,0.083,0.3899999999999999,0.0,283.15,9.581062241294903,9.511,10.082316387649623,34.11334409364115,35.331322736
8768,12317,CCCCCC,C1CCCCC1,c1ccccc1,---,0.588,0.183,0.229,0.0,283.15,9.414518063101934,9.441,9.904931686152624,33.969678835490065,35.654405074
8769,12318,CCCCCC,C1CCCCC1,c1ccccc1,---,0.161,0.701,0.138,0.0,283.15,7.300591632630891,7.522,7.690154562514875,34.77623187131797,40.380238928
8770,12319,C1CCCCC1,Cc1cccc(C)c1,---,---,0.0,1.0,0.0,0.0,303.15,1.5048360454379532,1.5172,1.589547952118996,41.98462763928924,42.85766
8771,12320,C1CCCCC1,Cc1cccc(C)c1,---,---,0.2258,0.7742,0.0,0.0,303.15,5.736231573413591,5.824,6.002870752950718,34.831750895095816,43.1784838656
8772,12321,C1CCCCC1,Cc1cccc(C)c1,---,---,0.3712,0.6288,0.0,0.0,303.15,7.91861264455182,8.059,8.281581951142819,34.358475376384995,43.3850728384
8773,12322,C1CCCCC1,Cc1cccc(C)c1,---,---,0.4797,0.5203,0.0,0.0,303.15,9.349115548626628,9.599,9.776220829657069,34.24597991539196,43.539233110400005
8774,12323,C1CCCCC1,Cc1cccc(C)c1,---,---,0.5751,0.4249,0.0,0.0,303.15,10.50656923181682,10.974,10.986073003767745,34.212579224899905,43.674780483199996
8775,12324,C1CCCCC1,Cc1cccc(C)c1,---,---,0.6455,0.3545,0.0,0.0,303.15,11.319520341188609,11.839,11.836014232392632,34.205342621774015,43.774807056
8776,12325,C1CCCCC1,Cc1cccc(C)c1,---,---,0.6954,0.3046,0.0,0.0,303.15,11.882626176350614,12.5,12.424782641228278,34.203420111335774,43.8457065728
8777,12326,C1CCCCC1,Cc1cccc(C)c1,---,---,0.735,0.265,0.0,0.0,303.15,12.325496470970752,13.036,12.887832045794498,34.201797307705206,43.901971520000004
8778,12327,C1CCCCC1,Cc1cccc(C)c1,---,---,0.7963,0.2037,0.0,0.0,303.15,13.01066703386391,13.756,13.604163745300768,34.19622268710841,43.989068521600004
8779,12328,C1CCCCC1,Cc1cccc(C)c1,---,---,0.8344,0.1655999999999999,0.0,0.0,303.15,13.440298298135753,14.197,14.053266868598692,34.18933449206762,44.04320222079999
8780,12329,C1CCCCC1,Cc1cccc(C)c1,---,---,0.8618,0.1382,0.0,0.0,303.15,13.752929087404414,14.659,14.380019991595692,34.182097671383424,44.0821330176
8781,12330,C1CCCCC1,Cc1cccc(C)c1,---,---,1.0,0.0,0.0,0.0,303.15,15.420673215416311,16.135,16.122127225200842,34.1021756717527,44.278492
8782,12331,C1CCCCC1,Cc1cccc(C)c1,---,---,0.0,1.0,0.0,0.0,323.15,4.173600451052623,4.234,4.375086954098202,41.06230079619242,41.67981
8783,12332,C1CCCCC1,Cc1cccc(C)c1,---,---,0.2234,0.7766,0.0,0.0,323.15,13.320286020949109,13.264,13.85529670630244,34.296991682567715,42.600271616
8784,12333,C1CCCCC1,Cc1cccc(C)c1,---,---,0.3685,0.6315,0.0,0.0,323.15,18.18131788594698,18.26,18.89829179326098,33.685162779403626,43.19811844
8785,12334,C1CCCCC1,Cc1cccc(C)c1,---,---,0.4774,0.5226,0.0,0.0,323.15,21.42341008512949,21.801,22.263626650118688,33.50491553433836,43.646812576
8786,12335,C1CCCCC1,Cc1cccc(C)c1,---,---,0.5733,0.4266999999999999,0.0,0.0,323.15,24.068492791511225,24.613,25.010209274102586,33.42694830678552,44.041943591999996
8787,12336,C1CCCCC1,Cc1cccc(C)c1,---,---,0.6441,0.3559,0.0,0.0,323.15,25.93329135168438,26.632,26.946915115693248,33.39282486406626,44.333656583999996
8788,12337,C1CCCCC1,Cc1cccc(C)c1,---,---,0.6943,0.3056999999999999,0.0,0.0,323.15,27.22647725899864,28.004,28.290040035754902,33.37416232952577,44.540492631999996
8789,12338,C1CCCCC1,Cc1cccc(C)c1,---,---,0.7341,0.2659,0.0,0.0,323.15,28.24216103393545,29.168,29.344936869700405,33.36041642781389,44.704478184
8790,12339,C1CCCCC1,Cc1cccc(C)c1,---,---,0.7954,0.2046,0.0,0.0,323.15,29.80302129845384,30.837,30.965945786164948,33.3379587123964,44.957048895999996
8791,12340,C1CCCCC1,Cc1cccc(C)c1,---,---,0.834,0.166,0.0,0.0,323.15,30.791762422467546,31.908,31.992658662403457,33.32137249537399,45.11609016
8792,12341,C1CCCCC1,Cc1cccc(C)c1,---,---,0.8615,0.1384999999999999,0.0,0.0,323.15,31.50266335431668,32.671,32.73077218617314,33.307723505909834,45.22939675999999
8793,12342,C1CCCCC1,Cc1cccc(C)c1,---,---,1.0,0.0,0.0,0.0,323.15,35.25120423337311,36.677,36.62099548200937,33.20185599169208,45.80005
8823,12380,CC(C)=O,c1ccccc1,---,---,0.6125,0.3874999999999999,0.0,0.0,318.15,53.34597011679555,57.722,55.39743266131509,31.8570173410623,29.888770862499996
8824,12381,CC(C)=O,c1ccccc1,---,---,0.7045,0.2955,0.0,0.0,318.15,56.90867229257827,60.527,59.08465444171812,31.6786150898909,29.1362275145
8825,12382,CC(C)=O,c1ccccc1,---,---,0.8081,0.1918999999999999,0.0,0.0,318.15,60.87804775104877,63.38,63.19363945684162,31.516112275896894,28.288798266099995
8826,12383,CC(C)=O,c1ccccc1,---,---,0.9084,0.0916,0.0,0.0,318.15,64.69736910815048,66.037,67.14765015646702,31.38304574186944,27.4683624204
8827,12384,CC(C)=O,c1ccccc1,---,---,0.9529,0.0471,0.0,0.0,318.15,66.38958276178542,67.189,68.89949979216783,31.328482350120016,27.104360474899998
8828,12387,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.16018,0.83982,0.0,0.0,293.15,2.1400617271946865,2.3745,2.2408830917670697,33.005503443946715,72.51842550026
8829,12388,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.27733,0.7226699999999999,0.0,0.0,293.15,3.820525027925404,4.192,4.000239532093217,32.95605818728018,66.91239465281
8830,12389,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.40729,0.5927100000000001,0.0,0.0,293.15,5.799809982170678,6.27,6.072142328829871,32.8986564935178,60.693361200530006
8831,12390,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.52569,0.47431,0.0,0.0,293.15,7.703499521156299,8.218,8.064609896759679,32.844387602111794,55.027513549329996
8832,12391,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.52638,0.47362,0.0,0.0,293.15,7.714853021771998,8.223,8.07649200740802,32.84406817403102,54.99449467366
8833,12392,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.7002,0.2997999999999999,0.0,0.0,293.15,10.6517229383049,11.13,11.149794590077772,32.76465189152724,46.67660921139999
8834,12393,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.82973,0.17027,0.0,0.0,293.15,12.893252251322286,13.315,13.49515450292762,32.71244579368542,40.478152739609996
8835,12394,CCCCCC,CCCCCCCCCCCCCCCC,---,---,1.0,0.0,0.0,0.0,293.15,15.735418403945072,16.145,16.46918667072155,32.67691153644653,32.330147
8836,12395,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.0298,0.9702,0.0,0.0,303.15,0.5956999817694933,0.6573,0.6203712923544591,31.11030809982736,78.010731286
8837,12396,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.10247,0.8975299999999999,0.0,0.0,303.15,2.0879044447645003,2.3025,2.174568519531205,31.17804276862065,74.5446680529
8838,12397,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.15871,0.84129,0.0,0.0,303.15,3.2825929660661344,3.604,3.419141485392234,31.2443443521114,71.8622489497
8839,12398,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.27588,0.72412,0.0,0.0,303.15,5.885578776408285,6.377,6.131596841905013,31.393287800469583,66.2737168316
8840,12399,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.40576,0.59424,0.0,0.0,303.15,8.951504500558679,9.586,9.327838774027882,31.57083598158472,60.0789694432
8841,12400,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.5205,0.4795,0.0,0.0,303.15,11.81139287846805,12.496,12.310610190037778,31.735826295468605,54.606338435
8842,12401,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.525,0.475,0.0,0.0,303.15,11.926239950378177,12.615,12.430417949058793,31.74240006787897,54.39170675
8843,12402,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.69714,0.30286,0.0,0.0,303.15,16.442856806933804,17.089,17.14357767540485,31.99305411848608,46.1813293598
8844,12403,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.82852,0.1714799999999999,0.0,0.0,303.15,19.977963004483936,20.532,20.83401002046143,32.16512602810548,39.915038076399995
8845,12404,CCCCCC,CCCCCCCCCCCCCCCC,---,---,1.0,0.0,0.0,0.0,303.15,24.42852841486064,24.947,25.47922451872558,32.283811798225386,31.73614
8846,12405,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.02939,0.97061,0.0,0.0,313.15,0.8700878433916908,0.9613,0.903567169489216,30.88266410327929,77.3486861966
8847,12406,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.10116,0.89884,0.0,0.0,313.15,3.054054349574528,3.3624,3.171729353347008,30.92413298518866,73.9298461704
8848,12407,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.1567,0.8432999999999999,0.0,0.0,313.15,4.804989299719326,5.272,4.990471057582897,30.9801758857424,71.284139398
8849,12408,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.27324,0.7267600000000001,0.0,0.0,313.15,8.656221283841761,9.373,8.991807638968405,31.11114925936872,65.7326329656
8850,12409,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.40341,0.59659,0.0,0.0,313.15,13.245389580566966,14.146,13.761570960529268,31.27052187293851,59.53184703539999
8851,12410,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.51264,0.48736,0.0,0.0,313.15,17.324244672028517,18.285,18.00249484526331,31.411982127359444,54.3285602016
8852,12411,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.52314,0.4768599999999999,0.0,0.0,313.15,17.726644692517542,18.693,18.420961047441168,31.425839638939568,53.82838157159999
8853,12412,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.69254,0.3074599999999999,0.0,0.0,313.15,24.42703021421801,25.281,25.39073925313012,31.649834937514576,45.75883300759999
8854,12413,CCCCCC,CCCCCCCCCCCCCCCC,---,---,0.82682,0.17318,0.0,0.0,313.15,29.898669367753158,30.56,31.084379546759603,31.811178894736376,39.3622628708
8855,12414,CCCCCC,CCCCCCCCCCCCCCCC,---,---,1.0,0.0,0.0,0.0,313.15,36.69711343304724,37.26,38.15761130011114,31.92217259648045,31.11265
8856,12416,CC(C)=O,CCCCO,---,---,0.435,0.565,0.0,0.0,298.15,16.416501741094706,15.465,17.140902775250346,32.0219758768457,41.828052299999996
8857,12421,CC(C)=O,CCCCO,---,---,0.01,0.99,0.0,0.0,388.15,98.7749538414791,99.46,102.25269643307618,43.45779908262151,41.62874675
8858,12422,CC(C)=O,CCCCO,---,---,0.025,0.975,0.0,0.0,385.15,97.11615483577854,99.46,100.48339891772346,42.14856145963079,41.690259450000006
8859,12423,CC(C)=O,CCCCO,---,---,0.05,0.95,0.0,0.0,380.25,94.13037950488356,99.46,97.32724489473163,40.25661541257437,41.77221665
8860,12424,CC(C)=O,CCCCO,---,---,0.07,0.93,0.0,0.0,376.95,93.16905886328384,99.46,96.28532510527688,38.97205423276292,41.756265080000006
8861,12428,CC(C)=O,CCCCO,---,---,0.265,0.735,0.0,0.0,354.85,90.5801030564078,99.46,93.4705613084721,32.97941387377736,39.98940283
8862,12429,CC(C)=O,CCCCO,---,---,0.312,0.688,0.0,0.0,351.95,92.24740002110389,99.46,95.19334320041897,32.46806600496652,39.269872424
8863,12430,CC(C)=O,CCCCO,---,---,0.535,0.4649999999999999,0.0,0.0,341.75,96.98839946883083,99.46,100.1708515640556,31.443766165677182,35.445298675
8864,12431,CC(C)=O,CCCCO,---,---,0.607,0.393,0.0,0.0,339.35,98.0396631192406,99.46,101.2912102228544,31.332406124632563,34.080899929
8865,12432,CC(C)=O,CCCCO,---,---,0.659,0.3409999999999999,0.0,0.0,337.65,98.26252242036244,99.46,101.5491349449691,31.27885325072664,33.080118274
