smiles,logA_stoch_mean,logA_stoch_std,C_stoch_mean,C_stoch_std,B_stoch_mean,B_stoch_std,fail_count,n_data,kl_div_two_normal_dists,MAE_stoch,MAE_db_and_sampled_hov,logA_det,C_det,B_det,MAE_det
CCCCC(C)(CC)CCCC,1.533,0.228,0.42,0.04,651.4,6.1,0,22,0.011,0.44,2.37,1.441,0.43,655.0,0.28
CCCCC(C)(CC)CO,1.765,0.266,0.41,0.05,644.2,5.6,0,22,0.014,0.65,2.92,1.661,0.43,647.0,0.5
CCCCC(C)(CO)CO,1.498,0.213,0.47,0.04,723.5,4.1,0,26,0.01,0.81,3.28,1.539,0.46,724.0,0.85
CCCCC(C)(O)C(C)(C)C,1.559,0.404,0.45,0.07,627.0,13.2,0,21,0.009,1.07,3.05,1.579,0.45,625.0,0.85
CCCCC(C)(O)C(C)(C)C(C)(C)C,1.665,0.217,0.44,0.04,685.7,3.4,0,24,0.012,1.03,3.12,1.648,0.44,686.0,1.04
CCCCC(C)(O)C(C)(O)CC,1.576,0.207,0.46,0.04,672.2,4.7,0,23,0.011,0.87,3.05,1.479,0.47,675.0,0.7
CCCCC(C)(O)C(C)C,1.401,0.249,0.45,0.05,635.2,4.4,0,21,0.011,0.95,2.59,1.379,0.46,637.0,0.92
CCCCC(C)(O)C(C)CC,1.657,0.235,0.43,0.05,630.4,4.4,0,21,0.01,0.86,2.93,1.597,0.44,633.0,0.74
CCCCC(C)(O)C=C(C)C,1.721,0.262,0.43,0.05,629.7,4.2,0,21,0.01,1.07,3.06,1.614,0.45,632.0,0.88
CCCCC(C)(O)CC(C)(C)C,1.674,0.23,0.42,0.04,634.8,6.2,0,21,0.01,0.81,2.75,1.619,0.43,639.0,0.66
CCCCC(C)(O)CC(C)(C)O,1.526,0.257,0.47,0.05,672.6,4.5,0,23,0.009,0.91,3.25,1.51,0.47,675.0,0.86
CCCCC(C)(O)CC(C)C,1.937,0.375,0.38,0.07,626.0,12.9,0,21,0.015,1.75,3.12,2.051,0.36,624.0,1.6
CCCCC(C)(O)CC(C)CC,1.617,0.344,0.45,0.06,665.0,9.0,0,23,0.014,0.95,3.2,1.666,0.44,665.0,1.0
CCCCC(C)(O)CC(C)O,1.589,0.256,0.46,0.05,677.6,4.9,0,23,0.013,0.88,3.15,1.561,0.46,680.0,0.82
CCCCC(C)(O)CC(O)C(C)C,1.572,0.252,0.47,0.05,695.2,4.2,0,24,0.012,1.0,3.47,1.535,0.48,697.0,0.93
CCCCC(C)(O)CCC,1.559,0.283,0.44,0.05,617.2,6.4,0,20,0.006,0.47,2.57,1.42,0.46,622.0,0.32
CCCCC(C)(O)CCC(C)C,1.601,0.254,0.4,0.05,657.2,7.1,0,22,0.008,0.34,2.3,1.502,0.41,662.0,0.22
CCCCC(C)(O)CCCC,1.327,0.26,0.48,0.05,646.8,4.2,0,22,0.01,0.8,2.73,1.277,0.49,649.0,0.72
CCCCC(C)(OC)OC,1.611,0.292,0.4,0.05,601.3,6.5,0,20,0.012,0.5,2.35,1.543,0.41,604.0,0.29
CCCCC(C)=C(C)C,1.404,0.215,0.42,0.04,596.6,5.3,0,23,0.013,0.48,1.69,1.334,0.43,600.0,0.39
CCCCC(C)=O,1.562,0.095,0.39,0.02,585.7,1.8,0,21,0.013,0.37,0.69,1.512,0.4,586.7,0.29
CCCCC(C)C,1.448,0.124,0.39,0.02,529.6,1.9,0,21,0.017,0.58,0.76,1.456,0.39,530.4,0.55
CCCCC(C)C(=O)CC,1.561,0.244,0.41,0.05,635.6,6.0,0,21,0.01,0.38,2.31,1.495,0.42,639.6,0.28
CCCCC(C)C(=O)O,1.619,0.255,0.45,0.05,657.7,6.5,0,22,0.019,0.85,3.04,1.517,0.47,661.0,0.68
CCCCC(C)C(=O)OCC,1.589,0.226,0.42,0.04,629.4,4.0,0,21,0.011,0.53,2.51,1.523,0.43,632.0,0.41
CCCCC(C)C(C(=O)O)c1ccccc1,1.843,0.264,0.44,0.05,767.6,5.9,0,22,0.016,1.14,3.84,1.77,0.45,770.0,0.95
CCCCC(C)C(C)(C)C,1.601,0.319,0.39,0.06,612.1,7.8,0,20,0.012,0.32,2.1,1.462,0.41,618.0,0.14
CCCCC(C)C(C)(C)O,1.653,0.248,0.42,0.05,609.3,3.3,0,20,0.01,0.76,2.78,1.671,0.42,611.0,0.76
CCCCC(C)C(C)=O,1.602,0.211,0.39,0.04,622.5,5.1,0,21,0.009,0.44,2.16,1.475,0.41,625.8,0.18
CCCCC(C)C(C)C,1.619,0.277,0.38,0.05,584.5,6.4,0,19,0.012,0.43,2.09,1.511,0.4,587.9,0.19
CCCCC(C)C(C)C(C)=O,1.531,0.198,0.42,0.04,655.1,5.9,0,22,0.012,0.36,2.31,1.461,0.43,658.6,0.25
CCCCC(C)C(C)CC,1.599,0.226,0.39,0.04,607.6,5.7,1,20,0.014,0.4,2.17,1.466,0.41,612.0,0.18
CCCCC(C)C(C)CCC,1.619,0.225,0.4,0.04,627.9,4.7,0,21,0.016,0.48,2.34,1.476,0.42,631.0,0.23
CCCCC(C)C(C)O,1.71,0.292,0.38,0.05,626.7,9.8,0,18,0.011,1.16,1.61,1.692,0.38,626.0,0.88
CCCCC(C)C(O)CC,1.712,0.389,0.47,0.07,639.1,9.1,0,21,0.01,1.88,3.83,1.752,0.47,639.0,1.87
CCCCC(C)C(O)CCC,1.557,0.255,0.44,0.05,652.3,6.9,0,22,0.012,1.01,2.87,1.501,0.45,656.0,0.95
CCCCC(C)C(c1ccccc1)C(C)C(C(=O)O)c1ccccc1,1.21,0.376,0.57,0.07,883.6,10.1,0,23,0.01,1.48,4.21,1.205,0.57,883.0,1.33
CCCCC(C)C(c1ccccc1)C(C)Cc1ccccc1,1.919,0.342,0.4,0.06,835.9,10.3,0,13,0.032,1.48,3.23,1.898,0.4,841.0,1.24
CCCCC(C)C1CC1,1.478,0.243,0.41,0.05,595.8,5.0,0,23,0.012,0.5,2.22,1.442,0.41,599.0,0.43
CCCCC(C)C1CCCCC1,1.571,0.228,0.42,0.04,666.8,3.8,0,23,0.01,0.54,2.54,1.486,0.44,669.0,0.39
CCCCC(C)C1CCc2ccccc21,1.585,0.419,0.44,0.07,783.2,14.2,0,12,0.012,0.67,2.78,1.437,0.46,789.0,0.57
CCCCC(C)CC,1.41,0.041,0.41,0.01,563.1,0.7,0,23,0.01,0.45,0.36,1.404,0.41,563.1,0.45
CCCCC(C)CC(=O)OCC,1.589,0.259,0.43,0.05,636.6,5.5,0,21,0.011,0.57,2.67,1.518,0.44,640.0,0.43
CCCCC(C)CC(C)(C)C,1.589,0.23,0.4,0.04,611.9,5.3,0,20,0.011,0.35,2.07,1.494,0.41,615.8,0.22
CCCCC(C)CC(C)(C)O,1.678,0.218,0.42,0.04,626.4,4.2,0,21,0.009,0.83,2.85,1.675,0.42,628.0,0.77
CCCCC(C)CC(C)=O,1.584,0.238,0.41,0.04,641.2,4.7,0,22,0.01,0.51,2.05,1.49,0.42,643.7,0.26
CCCCC(C)CC(C)C,1.651,0.302,0.39,0.06,593.8,7.9,0,19,0.009,0.4,2.16,1.486,0.41,599.7,0.17
CCCCC(C)CC(C)CC(C)C,1.561,0.159,0.43,0.03,641.8,3.7,0,22,0.009,0.41,1.46,1.499,0.44,643.8,0.27
CCCCC(C)CC(O)CC,1.561,0.253,0.43,0.05,652.9,5.5,0,22,0.013,0.55,2.61,1.514,0.44,656.0,0.44
CCCCC(C)CCC,1.361,0.278,0.45,0.05,573.7,4.3,0,23,0.014,0.93,2.42,1.393,0.45,574.8,0.92
CCCCC(C)CCC(C)C,1.575,0.235,0.41,0.04,615.0,6.4,0,20,0.013,0.37,2.29,1.507,0.42,619.0,0.27
CCCCC(C)CCC(C)CCCC,1.384,0.247,0.46,0.05,669.3,4.8,1,23,0.01,0.54,2.67,1.273,0.48,672.0,0.34
CCCCC(C)CCC(C)O,1.559,0.2,0.44,0.04,653.9,4.2,0,22,0.013,0.62,2.72,1.543,0.44,656.0,0.56
CCCCC(C)CCCC,1.563,0.441,0.42,0.08,602.2,8.4,0,23,0.008,1.24,2.74,1.471,0.43,603.5,1.29
CCCCC(C)CCCC(=O)OCC,1.414,0.323,0.47,0.06,669.9,6.9,0,23,0.012,0.49,2.95,1.433,0.47,672.0,0.51
CCCCC(C)CCCC(C)C,1.499,0.25,0.43,0.05,632.0,4.2,0,21,0.011,0.44,2.48,1.41,0.45,634.4,0.31
CCCCC(C)CCCC(C)CCCC(C)CCC,1.393,0.281,0.53,0.05,738.3,4.6,0,26,0.009,1.32,4.02,1.392,0.53,738.3,1.31
CCCCC(C)CCCCC(=O)OC,1.443,0.236,0.47,0.04,678.0,5.5,0,23,0.009,0.57,2.88,1.376,0.48,681.0,0.46
CCCCC(C)CCCCO,1.602,0.234,0.45,0.04,658.4,3.8,0,22,0.013,0.89,3.06,1.523,0.47,660.0,0.81
CCCCC(C)CCCO,1.648,0.238,0.43,0.04,656.1,5.1,0,22,0.012,0.82,2.78,1.537,0.45,659.0,0.71
CCCCC(C)CCO,1.553,0.214,0.43,0.04,637.4,6.2,0,21,0.015,0.21,2.14,1.489,0.44,641.0,0.18
CCCCC(C)CO,1.685,0.224,0.41,0.04,609.8,5.9,0,20,0.011,0.63,2.47,1.596,0.42,613.7,0.52
CCCCC(C)Cc1ccccc1,1.53,0.236,0.44,0.04,693.1,3.9,0,24,0.012,0.62,2.69,1.542,0.43,695.0,0.56
CCCCC(C)O,0.728,0.423,0.58,0.07,594.5,13.1,2,19,0.011,1.79,1.13,0.909,0.55,588.9,1.87
CCCCC(C)OC(=O)CCC,1.527,0.644,0.44,0.1,637.8,21.6,0,21,0.009,0.49,2.57,1.501,0.44,639.0,0.44
CCCCC(C)OC(C)=O,1.607,0.26,0.4,0.05,596.5,6.3,0,19,0.011,0.41,2.26,1.532,0.42,601.0,0.3
CCCCC(C)OC=O,1.633,0.232,0.4,0.05,586.2,4.2,0,19,0.012,0.59,2.41,1.559,0.42,589.0,0.41
CCCCC(C)OCC,1.601,0.218,0.39,0.04,569.2,5.0,0,18,0.013,0.38,2.03,1.496,0.4,572.0,0.2
CCCCC(C)OO,1.601,0.574,0.43,0.09,607.8,23.8,0,20,0.012,0.68,2.9,1.59,0.43,608.0,0.65
CCCCC(C)c1ccc(O)cc1,1.52,0.365,0.45,0.07,755.6,7.0,0,12,0.008,0.8,3.08,1.501,0.46,759.0,0.63
CCCCC(C)c1ccc2ccccc2c1,1.527,0.402,0.46,0.07,808.7,13.1,0,13,0.012,0.85,3.22,1.496,0.46,813.0,0.67
CCCCC(C)c1cccc(O)c1,1.537,0.491,0.45,0.08,756.8,13.4,0,12,0.009,0.8,3.1,1.505,0.46,760.0,0.64
CCCCC(C)c1ccccc1,2.108,0.72,0.31,0.14,656.5,37.4,0,20,0.01,2.09,2.16,1.609,0.41,679.0,0.14
CCCCC(C)c1ccccc1O,1.502,0.357,0.46,0.07,757.6,6.3,0,12,0.007,0.74,3.01,1.505,0.46,760.0,0.64
CCCCC(C1CCCCC1)C1CCCCC1,1.597,0.217,0.44,0.04,778.6,6.1,0,26,0.012,0.55,3.01,1.525,0.45,782.0,0.43
CCCCC(C=CC(C)(C)C)(CC)CC,1.889,0.226,0.32,0.04,729.2,8.3,0,26,0.015,0.28,1.91,1.921,0.31,728.5,0.26
CCCCC(C=CC(C)=O)CC,1.539,0.291,0.46,0.05,672.8,5.9,0,23,0.012,0.76,3.06,1.534,0.46,675.4,0.72
CCCCC(C=O)CC,1.675,0.279,0.38,0.05,620.9,7.1,0,21,0.012,0.61,2.32,1.543,0.4,625.0,0.24
CCCCC(CC)(CC)CC,1.493,0.24,0.41,0.04,641.1,5.2,0,22,0.008,0.4,1.91,1.399,0.43,643.4,0.15
CCCCC(CC)(CC)CC(O)C(C)(C)C,1.566,0.301,0.45,0.05,711.8,7.9,0,25,0.008,0.82,3.2,1.573,0.45,713.0,0.79
CCCCC(CC)(CC)CCCC,1.299,0.231,0.46,0.04,678.1,5.2,0,23,0.01,0.29,2.35,1.264,0.47,681.3,0.25
CCCCC(CC)(CO)CO,1.669,0.23,0.42,0.04,756.5,5.7,0,24,0.013,0.45,2.84,1.622,0.43,760.0,0.35
CCCCC(CC)C(=O)O,1.701,0.066,0.44,0.01,672.5,2.7,0,23,0.013,0.85,0.59,1.655,0.45,674.4,0.83
CCCCC(CC)C(=O)OC(=O)C(CC)CCCC,1.156,0.28,0.55,0.05,747.1,6.2,0,27,0.014,1.03,3.8,1.213,0.54,745.0,1.03
CCCCC(CC)C(=O)OCC,1.555,0.238,0.43,0.05,636.6,5.7,0,21,0.013,0.52,2.5,1.52,0.44,640.0,0.43
CCCCC(CC)C(C)=O,1.568,0.236,0.41,0.04,642.2,5.0,0,22,0.014,0.55,2.46,1.463,0.43,644.7,0.3
CCCCC(CC)C(C)C,1.636,0.233,0.38,0.04,606.3,6.6,0,20,0.016,0.45,2.1,1.46,0.41,612.0,0.16
CCCCC(CC)C(C)O,1.633,0.243,0.42,0.05,635.4,6.0,0,21,0.014,0.65,2.65,1.509,0.44,639.0,0.51
CCCCC(CC)C(CC(C)C)CC(C)C,1.295,0.432,0.48,0.08,688.6,9.9,0,12,0.012,0.58,2.95,1.222,0.49,694.0,0.48
CCCCC(CC)C(O)C(C)(C)C,1.607,0.227,0.44,0.04,674.2,3.8,1,23,0.01,0.83,3.03,1.589,0.45,676.0,0.79
CCCCC(CC)C(O)CCC,1.663,0.306,0.43,0.05,670.5,9.2,0,23,0.01,0.81,3.06,1.57,0.45,673.0,0.66
CCCCC(CC)C(OCC)OCC,1.445,0.26,0.46,0.05,669.2,5.0,0,23,0.011,0.5,2.83,1.431,0.46,672.0,0.46
CCCCC(CC)CC,1.538,0.272,0.39,0.05,597.2,7.2,0,19,0.013,0.15,1.87,1.456,0.4,602.5,0.02
CCCCC(CC)CC(=O)O,1.51,0.693,0.48,0.11,674.9,25.3,0,23,0.013,2.69,3.31,1.601,0.46,670.0,2.55
CCCCC(CC)CC(C)CC(C)C(=O)O,1.541,0.225,0.48,0.04,745.9,5.3,0,27,0.014,0.97,3.54,1.518,0.48,747.0,0.92
CCCCC(CC)CC(CC(CC)CCCC)C(=O)O,1.384,0.366,0.5,0.07,780.9,5.7,0,12,0.015,0.96,3.52,1.343,0.51,784.0,0.87
CCCCC(CC)CC(CC)CC(CC)CO,1.678,0.552,0.46,0.09,712.7,30.2,0,24,0.011,0.8,5.16,1.359,0.51,725.7,0.64
CCCCC(CC)CC(CC)CO,1.542,0.294,0.46,0.05,695.7,8.2,0,24,0.01,0.8,3.17,1.575,0.45,698.0,0.77
CCCCC(CC)CC(O)C(C)C,1.453,1.051,0.46,0.16,682.2,40.7,0,23,0.012,0.82,2.87,1.555,0.45,680.0,0.63
CCCCC(CC)CC(O)CC,1.515,0.248,0.47,0.05,671.1,5.2,0,23,0.022,0.75,2.97,1.507,0.47,673.0,0.63
CCCCC(CC)CC(c1ccccc1)(C1CCCCC1)C1CCCCC1,1.386,0.325,0.53,0.06,869.0,5.0,0,14,0.013,1.55,4.25,1.314,0.54,871.0,1.38
CCCCC(CC)CC1CCCC2CCCCC21,1.458,0.287,0.47,0.05,767.1,5.8,0,12,0.012,0.69,2.9,1.434,0.47,770.0,0.6
CCCCC(CC)CCC,1.631,0.263,0.4,0.05,604.1,5.7,0,20,0.009,0.55,2.3,1.491,0.42,607.0,0.28
CCCCC(CC)CCC(=O)O,1.625,0.306,0.46,0.06,696.3,6.6,0,24,0.008,1.11,3.49,1.618,0.47,698.0,1.1
CCCCC(CC)CCC(C)=O,1.425,0.237,0.46,0.04,673.7,4.7,0,23,0.011,0.52,2.77,1.393,0.47,676.5,0.45
CCCCC(CC)CCC(C)C,1.225,0.261,0.48,0.05,638.7,4.5,0,26,0.01,0.66,2.76,1.229,0.48,640.0,0.59
CCCCC(CC)CCC(C)O,1.626,0.236,0.43,0.04,669.4,4.9,0,23,0.01,0.74,2.94,1.533,0.45,673.0,0.56
CCCCC(CC)CCC(CC)CCCC,1.231,0.385,0.49,0.07,704.7,11.2,0,13,0.01,0.59,2.96,1.176,0.5,707.0,0.43
CCCCC(CC)CCC(O)CC,1.562,0.223,0.41,0.04,690.9,5.3,0,24,0.011,0.39,2.44,1.486,0.42,695.0,0.26
CCCCC(CC)CCC(O)CC(C)C,1.593,0.287,0.44,0.05,713.7,7.6,0,25,0.011,0.73,2.93,1.524,0.45,716.0,0.62
CCCCC(CC)CCC(O)CCC(CC)CC,1.555,0.33,0.46,0.06,756.5,6.5,0,12,0.009,0.89,3.23,1.523,0.46,759.0,0.76
CCCCC(CC)CCCC,1.594,0.235,0.41,0.04,616.2,6.4,0,20,0.01,0.44,2.36,1.49,0.43,620.3,0.29
CCCCC(CC)CCCCCCCCC(CC)CCCC,2.038,0.348,0.4,0.06,781.4,8.0,0,12,0.009,2.03,3.66,1.914,0.42,785.0,2.04
CCCCC(CC)CCCCCCCCCCC(CC)CCCC,0.979,0.426,0.57,0.07,809.1,7.9,0,13,0.015,0.91,3.46,0.954,0.57,810.0,0.86
CCCCC(CC)CCCO,1.557,0.29,0.46,0.05,667.7,7.5,0,23,0.009,0.83,3.08,1.525,0.46,669.0,0.76
CCCCC(CC)CCO,1.684,0.237,0.42,0.04,656.4,5.1,0,22,0.016,0.77,2.67,1.629,0.43,659.2,0.71
CCCCC(CC)CO,0.234,0.358,0.69,0.06,648.7,8.3,0,27,0.009,2.33,1.35,0.316,0.68,646.4,2.36
CCCCC(CC)COC(=O)CC,1.53,0.237,0.45,0.04,654.1,5.4,0,22,0.014,0.6,2.75,1.536,0.44,657.0,0.52
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,1.136,0.542,0.59,0.09,792.9,11.7,1,14,0.012,1.93,5.02,1.175,0.58,793.0,1.98
CCCCC(CC)COC(=O)CCCCCC(=O)OCC(CC)CCCC,1.413,0.388,0.54,0.07,795.6,8.6,0,12,0.012,1.51,4.63,1.341,0.55,800.0,1.31
CCCCC(CC)COC(C)=O,1.579,0.039,0.43,0.01,642.3,0.2,0,22,0.009,0.54,0.27,1.572,0.43,642.4,0.53
CCCCC(CC)COCC,1.528,0.275,0.43,0.05,621.1,6.5,0,21,0.011,0.58,2.49,1.457,0.44,623.0,0.37
CCCCC(CC)COCC(CC)CCCC,1.486,0.238,0.46,0.04,723.1,4.8,0,26,0.011,0.67,3.05,1.465,0.47,725.0,0.59
CCCCC(CC)COCCCCCCO,1.387,0.275,0.51,0.05,735.8,5.7,0,26,0.011,0.84,3.79,1.333,0.52,738.0,0.71
CCCCC(CC)COCCOCCO,1.3,0.269,0.53,0.05,727.0,5.5,0,26,0.01,0.68,3.7,1.33,0.52,727.0,0.74
CCCCC(CC)Cc1ccc2c(c1)CCC2,1.583,0.357,0.46,0.06,788.5,10.9,0,12,0.009,0.93,3.18,1.428,0.49,794.0,0.78
CCCCC(CC)Cc1cccc2ccccc12,1.528,0.422,0.47,0.07,830.0,14.5,0,13,0.012,1.04,3.57,1.444,0.49,837.0,0.84
CCCCC(CC)Cc1ccccc1,1.533,0.246,0.47,0.05,712.5,5.2,0,25,0.01,0.85,3.3,1.497,0.47,715.0,0.75
CCCCC(CC)OO,1.61,0.267,0.44,0.05,626.0,6.2,0,21,0.011,0.78,2.98,1.522,0.45,628.0,0.62
CCCCC(CC)c1ccc(-c2ccccc2)cc1-c1ccccc1,1.889,0.297,0.41,0.05,958.0,6.0,0,16,0.014,1.51,3.91,1.831,0.42,962.0,1.43
CCCCC(CC)c1ccc(O)cc1,1.579,0.339,0.45,0.06,763.6,6.6,1,12,0.015,0.84,3.05,1.532,0.45,768.0,0.69
CCCCC(CC)c1ccccc1,1.592,0.247,0.44,0.05,697.3,5.0,0,24,0.013,0.69,2.86,1.573,0.44,700.0,0.63
CCCCC(CCC)(CCC)CC(=O)O,1.259,0.457,0.56,0.08,749.8,13.8,0,27,0.011,1.61,4.51,1.367,0.54,746.0,1.62
CCCCC(CCC)(CCC)CCC,1.474,0.228,0.43,0.04,693.4,5.1,0,26,0.006,0.53,2.38,1.43,0.43,697.0,0.43
CCCCC(CCC)CCC,1.617,0.213,0.4,0.04,626.1,5.2,0,21,0.009,0.51,2.46,1.519,0.42,629.7,0.32
CCCCC(CCC)CCCC,1.589,0.322,0.42,0.06,645.1,9.3,1,22,0.012,0.55,2.71,1.541,0.43,646.0,0.46
CCCCC(CCC)COC,1.538,0.3,0.34,0.06,623.5,9.4,0,21,0.011,0.13,1.54,1.456,0.35,627.2,0.07
CCCCC(CCC)c1ccc(O)cc1,1.559,0.287,0.47,0.05,762.0,5.6,0,12,0.014,1.13,3.39,1.541,0.48,764.0,1.05
CCCCC(CCC)c1cccc(O)c1,1.529,0.493,0.46,0.09,772.0,13.8,0,12,0.01,0.82,3.09,1.383,0.48,778.0,0.52
CCCCC(CCC)c1ccccc1,1.592,0.242,0.44,0.04,711.7,6.0,0,25,0.017,0.74,2.93,1.538,0.45,713.0,0.67
CCCCC(CCC)c1ccccc1O,1.411,0.347,0.48,0.06,774.4,6.6,0,12,0.02,0.62,3.07,1.383,0.48,778.0,0.52
CCCCC(CCCC)(CCCC)CC(=O)O,1.257,0.411,0.55,0.07,770.0,12.3,0,25,0.012,1.39,4.21,1.353,0.53,766.0,1.33
CCCCC(CCCC)(CCCC)CCCC,1.552,0.219,0.42,0.04,710.6,6.4,0,24,0.015,0.68,2.51,1.408,0.44,715.0,0.51
CCCCC(CCCC)C(=O)O,1.606,0.217,0.48,0.04,675.7,4.5,0,23,0.012,1.18,3.61,1.613,0.48,677.0,1.16
CCCCC(CCCC)C(=O)OC,1.433,0.275,0.45,0.05,664.5,5.8,0,23,0.01,0.5,2.79,1.406,0.46,666.0,0.43
CCCCC(CCCC)C(=O)OCC,1.833,1.103,0.38,0.16,680.9,59.3,0,23,0.009,2.34,2.87,1.857,0.38,672.0,2.01
CCCCC(CCCC)C(C)O,1.597,0.332,0.43,0.06,670.8,10.5,0,23,0.011,0.67,2.8,1.545,0.44,673.0,0.57
CCCCC(CCCC)CCCC,1.79,0.173,0.39,0.03,660.7,3.9,0,22,0.012,0.87,2.3,1.904,0.37,662.0,0.98
CCCCC(CCCC)CCCCC(CCCC)CCCC,1.51,0.417,0.53,0.08,783.4,5.2,0,12,0.012,1.8,4.77,1.46,0.54,785.0,1.67
CCCCC(CCCC)CCCCCC(CCCC)CCCC,1.274,0.431,0.51,0.08,790.6,13.6,0,12,0.012,0.75,3.42,1.105,0.54,798.0,0.58
CCCCC(CCCC)CCc1ccccc1,1.47,0.222,0.47,0.04,746.2,4.5,0,27,0.014,0.7,3.14,1.443,0.47,748.0,0.6
CCCCC(CCCC)c1ccc(-c2ccccc2)cc1-c1ccccc1,1.99,0.271,0.4,0.05,966.1,6.8,0,16,0.019,1.76,3.99,1.91,0.41,971.0,1.65
CCCCC(CCCC)c1ccccc1,1.531,0.227,0.44,0.04,723.2,5.0,1,26,0.01,0.62,2.72,1.533,0.44,725.0,0.54
CCCCC(CCO)C(C)C,1.567,0.254,0.45,0.05,665.8,4.9,0,23,0.011,1.15,3.05,1.601,0.44,667.0,1.18
CCCCC(CO)(CO)CCCC,1.494,0.379,0.49,0.07,771.5,6.8,0,12,0.019,1.08,3.69,1.506,0.49,774.0,1.04
CCCCC(CO)CC(C)CCC,1.509,0.25,0.43,0.05,694.0,5.8,0,24,0.01,0.41,2.55,1.465,0.43,698.0,0.31
CCCCC(CO)CCC,1.632,0.231,0.42,0.04,656.3,4.9,0,22,0.028,0.68,2.62,1.539,0.44,659.0,0.55
CCCCC(CO)CCCC,1.451,0.269,0.48,0.05,653.0,4.5,0,22,0.012,0.94,3.1,1.432,0.49,655.0,0.91
CCCCC(CO)CCCO,1.603,0.217,0.47,0.04,745.7,4.6,0,27,0.007,1.2,3.67,1.566,0.48,747.0,1.12
CCCCC(CO)CO,1.564,0.25,0.46,0.04,728.5,6.3,0,26,0.012,0.96,3.21,1.576,0.45,730.0,0.88
CCCCC(Cc1ccccc1)c1ccccc1,1.482,0.387,0.48,0.07,805.2,6.0,0,13,0.009,0.87,3.49,1.485,0.48,806.0,0.82
CCCCC(O)(C(C)(C)C)C(C)(C)C,1.552,0.286,0.45,0.05,665.4,6.9,0,23,0.009,1.07,3.11,1.61,0.44,665.0,1.05
CCCCC(O)(C(C)C)C(C)C,1.848,0.226,0.38,0.04,659.4,5.6,0,23,0.009,1.0,2.65,1.768,0.39,661.1,0.75
CCCCC(O)(CC)C(C)C,1.652,0.323,0.43,0.06,627.4,7.1,0,21,0.012,1.02,2.99,1.601,0.44,628.0,0.94
CCCCC(O)(CC)CC,1.351,0.265,0.46,0.05,642.4,6.1,0,22,0.011,1.05,2.59,1.261,0.47,646.0,0.96
CCCCC(O)(CC)CCC,2.005,0.411,0.36,0.08,636.0,17.0,0,21,0.011,1.45,2.6,1.887,0.38,641.0,1.38
CCCCC(O)(CC)CCCC,1.876,0.208,0.38,0.04,659.0,5.9,0,23,0.012,1.21,2.77,1.825,0.39,661.2,0.93
CCCCC(O)(CCC)CCC,1.598,0.227,0.44,0.04,651.2,3.9,0,22,0.01,0.73,2.86,1.573,0.44,653.0,0.65
CCCCC(O)(CCC)CCCC,1.451,6.067,0.41,0.74,737.5,343.9,1,24,0.011,7.88,3.16,2.386,0.29,683.0,2.35
CCCCC(O)(CCCC)C(C)(C)C,1.602,0.23,0.43,0.04,689.8,4.2,0,24,0.01,0.62,2.82,1.59,0.43,692.0,0.54
CCCCC(O)(CCCC)C(C)C,1.347,0.264,0.48,0.05,677.0,3.2,0,23,0.011,0.92,2.91,1.403,0.47,678.0,0.99
CCCCC(O)(CCCC)CC(C)(C)C,3.028,0.392,0.16,0.07,671.4,27.6,0,24,0.009,1.56,2.85,2.787,0.2,686.5,0.12
CCCCC(O)(CCCC)CCCC,1.528,0.293,0.48,0.05,685.3,7.0,0,24,0.011,1.04,3.38,1.602,0.46,685.0,1.03
CCCCC(O)C(=O)O,1.326,0.378,0.56,0.07,692.1,8.7,0,24,0.01,1.67,4.49,1.395,0.55,690.0,1.58
CCCCC(O)C(C)(C)O,1.505,0.257,0.42,0.05,661.4,5.3,0,23,0.017,0.39,2.33,1.437,0.43,663.0,0.23
CCCCC(O)C(C)C,0.939,0.345,0.55,0.06,622.6,6.5,0,21,0.01,0.55,2.48,0.964,0.54,623.0,0.55
CCCCC(O)C(C)CC,1.619,0.246,0.42,0.05,635.9,5.3,0,21,0.012,0.64,2.58,1.526,0.44,639.0,0.54
CCCCC(O)C(C)O,1.64,0.22,0.43,0.04,694.8,5.5,0,24,0.012,0.75,2.85,1.561,0.44,698.0,0.62
CCCCC(O)C(CC)CC,1.533,0.221,0.45,0.04,654.1,4.6,0,22,0.01,1.06,2.92,1.492,0.46,656.0,1.0
CCCCC(O)C(CO)CCC,1.544,0.221,0.47,0.04,749.0,4.4,0,27,0.008,0.91,3.31,1.531,0.47,750.0,0.85
CCCCC(O)C(O)CCC,1.712,0.372,0.44,0.07,709.6,13.1,0,18,0.013,0.81,3.23,1.7,0.44,712.0,0.79
CCCCC(O)CC,0.917,0.181,0.55,0.03,606.9,4.0,0,20,0.013,0.94,1.32,0.97,0.55,605.4,0.89
CCCCC(O)CC(C)(C)C,1.72,0.2,0.41,0.04,621.7,4.4,0,21,0.012,0.76,2.92,1.733,0.41,623.0,0.74
CCCCC(O)CC(C)O,1.564,0.499,0.46,0.08,697.3,17.4,0,24,0.008,0.87,3.27,1.595,0.46,698.0,0.9
CCCCC(O)CCC,-1.008,2.258,0.86,0.33,698.4,91.5,0,23,0.011,3.13,2.87,-0.366,0.77,667.7,2.3
CCCCC(O)CCC(C)C,1.633,0.216,0.43,0.04,652.0,4.2,0,22,0.01,0.75,2.78,1.594,0.44,654.0,0.66
