smiles,logA_stoch_mean,logA_stoch_std,C_stoch_mean,C_stoch_std,B_stoch_mean,B_stoch_std,fail_count,n_data,kl_div_two_normal_dists,MAE_stoch,MAE_db_and_sampled_hov,logA_det,C_det,B_det,MAE_det
C=COC(=O)CCCCC(=O)OC,1.463,0.212,0.47,0.04,673.1,4.0,0,23,0.009,0.7,3.0,1.421,0.48,675.0,0.61
C=COC(=O)CCCCC(=O)OCC,1.461,0.268,0.48,0.05,678.0,4.1,0,23,0.01,0.73,3.06,1.452,0.48,680.0,0.71
C=COC(=O)CCCCC(=O)OCCC,1.427,0.241,0.49,0.04,690.9,5.3,0,24,0.012,0.78,3.31,1.391,0.5,693.0,0.69
C=COC(=O)CCCCC(=O)OCCCC,1.356,0.318,0.51,0.06,705.4,7.9,0,25,0.012,0.75,3.63,1.399,0.5,705.0,0.75
C=COC(=O)CCCCC(=O)OCCCCC,1.403,0.271,0.51,0.05,714.7,5.5,0,25,0.011,0.88,3.73,1.34,0.52,717.0,0.72
C=COC(=O)CCCCC(=O)OCCCCCC,1.259,0.3,0.54,0.05,729.8,6.5,0,26,0.012,1.18,3.75,1.284,0.53,729.0,1.12
C=COC(=O)CCCCCC(=O)OC,1.434,0.305,0.49,0.05,686.8,7.5,0,24,0.009,0.74,3.29,1.413,0.49,688.0,0.67
C=COC(=O)CCCCCCCC(=O)OC,1.431,0.251,0.5,0.05,711.2,5.0,0,25,0.012,0.88,3.58,1.404,0.51,713.0,0.81
C=COC(=O)CCCCCCCCC(=O)OC,1.314,0.316,0.53,0.06,724.6,6.2,0,26,0.012,0.83,3.8,1.344,0.52,724.0,0.78
C=COC(C)(C)C,1.508,0.234,0.37,0.04,524.6,5.5,0,29,0.011,0.19,1.64,1.433,0.39,526.4,0.08
C=COC(C)=C(C)C,1.539,0.216,0.38,0.04,529.1,6.5,0,29,0.009,0.23,1.63,1.401,0.4,534.0,0.08
C=COC(C)=O,1.481,0.158,0.39,0.03,516.9,3.7,0,19,0.011,0.42,0.85,1.421,0.4,519.2,0.4
C=COC(C)C,1.466,0.189,0.36,0.04,496.0,4.2,0,28,0.014,0.11,1.47,1.386,0.38,498.5,0.02
C=COC1CCCCC1,1.604,0.218,0.37,0.04,623.3,3.2,0,21,0.013,0.34,2.03,1.493,0.39,625.0,0.1
C=COC=C,1.375,0.167,0.37,0.03,466.9,3.3,0,31,0.012,0.13,1.38,1.327,0.38,468.4,0.09
C=COC=O,1.55,0.252,0.36,0.05,477.8,6.5,0,26,0.009,0.24,1.61,1.386,0.39,483.0,0.07
C=COCC,1.392,0.245,0.37,0.05,471.9,5.8,0,18,0.011,0.11,0.95,1.32,0.39,475.0,0.03
C=COCC(C)C,1.488,0.164,0.38,0.03,525.0,3.9,0,29,0.007,0.2,1.37,1.442,0.39,527.6,0.13
C=COCCC,1.432,0.121,0.38,0.02,506.4,2.9,0,28,0.012,0.25,0.93,1.365,0.4,508.1,0.18
C=COCCCC,1.479,0.033,0.39,0.01,540.3,0.3,0,31,0.01,0.08,0.25,1.468,0.39,540.4,0.08
C=COCCCCCC,1.664,0.232,0.38,0.04,587.3,5.5,0,19,0.012,0.5,2.11,1.497,0.41,590.1,0.22
C=COCCCCCC(C)C,1.59,0.199,0.41,0.04,615.2,5.6,0,20,0.015,0.46,2.21,1.512,0.43,618.8,0.32
C=COCCCCCCC,1.576,0.189,0.41,0.04,608.9,3.8,0,20,0.016,0.53,2.21,1.529,0.42,611.1,0.32
C=COCCCCCCCC,1.611,0.267,0.41,0.05,628.0,7.5,0,21,0.016,0.54,2.48,1.521,0.43,629.9,0.39
C=COCCCCCCCCC,1.594,0.219,0.43,0.04,645.6,4.2,0,22,0.012,0.63,2.63,1.569,0.43,647.8,0.53
C=COCCCCCCCCCC,1.55,0.254,0.44,0.05,662.3,4.7,0,23,0.012,0.67,2.8,1.505,0.45,663.2,0.56
C=COCCCCOC=C,1.617,0.288,0.42,0.05,597.3,6.8,0,19,0.016,0.53,2.4,1.531,0.43,601.0,0.42
C=COCCOC,1.607,0.262,0.38,0.05,553.4,7.6,0,17,0.009,0.32,1.85,1.458,0.4,559.0,0.15
C=COCCOC(C)C,1.64,0.254,0.39,0.05,575.0,6.3,0,18,0.012,0.47,2.18,1.553,0.41,579.0,0.36
C=COCCOC=C,2.827,0.322,0.13,0.06,544.1,27.9,0,17,0.016,1.05,1.82,2.618,0.17,562.0,0.75
C=COCCOCC,1.572,0.246,0.39,0.05,570.7,5.0,0,18,0.009,0.34,2.05,1.492,0.41,574.0,0.2
C=COCCOCC(C)C,1.651,0.242,0.39,0.05,589.6,6.4,0,19,0.015,0.5,2.3,1.529,0.41,594.0,0.32
C=COCCOCC1CO1,1.497,0.227,0.43,0.04,651.6,5.5,0,22,0.016,0.38,2.33,1.433,0.43,655.0,0.24
C=COCCOCCC,1.611,0.243,0.4,0.05,587.1,5.6,0,19,0.008,0.47,2.22,1.558,0.4,591.0,0.33
C=COCCOCCCC,1.713,0.265,0.4,0.05,596.2,6.6,0,19,0.016,0.63,2.5,1.547,0.43,601.0,0.42
C=COCCOCCOCCO,1.655,0.233,0.46,0.04,718.8,5.4,0,25,0.013,1.19,3.46,1.624,0.47,721.0,1.14
C=COCCOCCOCCOC=C,1.425,0.248,0.49,0.05,704.8,4.8,0,25,0.016,0.82,3.33,1.443,0.49,706.0,0.82
C=COc1ccc(C(C)=O)cc1,1.514,0.287,0.47,0.05,747.5,6.9,0,27,0.011,0.83,3.31,1.465,0.47,749.0,0.73
C=COc1ccc(C)cc1,1.528,0.278,0.45,0.05,662.9,4.6,0,23,0.012,0.64,2.87,1.563,0.44,664.0,0.67
C=COc1ccc(OC)cc1,1.506,0.264,0.45,0.05,688.5,6.3,0,24,0.01,0.57,2.82,1.482,0.45,691.0,0.46
C=COc1ccccc1,1.164,1.77,0.48,0.26,692.7,93.4,1,23,0.012,2.65,2.87,1.723,0.4,665.0,2.57
C=Cc1c(C)cccc1C,1.636,0.202,0.39,0.04,663.4,5.0,0,24,0.014,0.56,2.43,1.546,0.41,667.0,0.36
C=Cc1cc(C)c(C)cc1C,1.422,0.193,0.44,0.04,704.7,4.3,1,24,0.012,0.69,1.9,1.352,0.45,707.0,0.62
C=Cc1cc(C)cc(C)c1,1.552,0.202,0.41,0.04,672.4,5.0,0,25,0.011,0.54,2.4,1.442,0.43,676.0,0.45
C=Cc1cc(C)ccc1C,1.627,0.193,0.39,0.04,678.3,4.0,0,24,0.012,0.87,2.27,1.631,0.39,680.0,0.85
C=Cc1cc(CC)cc(CC)c1,1.537,0.21,0.41,0.04,730.2,5.5,0,26,0.01,0.34,2.47,1.463,0.43,733.0,0.23
C=Cc1cc(CC)ccc1CC,1.538,0.182,0.43,0.03,730.2,4.8,0,26,0.008,0.51,2.67,1.474,0.44,733.0,0.38
C=Cc1ccc(-c2ccccc2)cc1,1.636,0.77,0.42,0.12,815.4,42.3,0,23,0.011,1.57,3.08,1.755,0.41,807.0,1.35
C=Cc1ccc(C(C)=O)cc1,1.66,0.19,0.41,0.04,750.5,5.1,0,24,0.011,0.45,2.65,1.608,0.42,754.0,0.33
C=Cc1ccc(C(C)C)cc1,1.443,0.47,0.43,0.08,693.0,23.0,0,24,0.012,1.76,1.71,1.777,0.37,682.0,1.89
C=Cc1ccc(C)c(C)c1,1.637,0.243,0.39,0.04,677.5,6.9,0,23,0.018,0.38,2.29,1.562,0.41,682.0,0.27
