DIPPR ID,Cp_liq_298K,smiles
120,,CC1CCCC1(C)C
122,,CCCCC1CCCC1
127,,CCCCCC1CCCCC1
128,,CCCCCCCCC(C)C
129,,CCCCCCCCCC(C)C
130,,CCCCCCCCCCC(C)C
131,,CCCCCCCCCC(CC)CC
132,,CCCCCCCCCCCC(C)C
133,,CCCCCC[C@H]1CCC2CCCCC2C1
137,,C1CCCCC1
138,,CC1CCCCC1
140,,CCC1CCCCC1
141,,CC1(C)CCCCC1
142,,C[C@H]1CCCC[C@H]1C
143,,C[C@@H]1CCCC[C@H]1C
144,,C[C@H]1CCC[C@@H](C)C1
145,,C[C@@H]1CCC[C@@H](C)C1
146,,C[C@H]1CC[C@@H](C)CC1
147,,C[C@H]1CC[C@H](C)CC1
148,,C[C@H]1C[C@H](C)C[C@@H](C)C1
149,,CCCC1CCCCC1
150,,CC(C)C1CCCCC1
151,,CC1CCC(C)C(C)C1C
152,,CCCCC1CCCCC1
153,,C1CC[C@H]2CCCC[C@H]2C1
154,,C1CC[C@H]2CCCC[C@@H]2C1
155,,C1CCC(C2CCCCC2)CC1
156,,CCC1(CC)CCCCC1
158,,CCCCCCCCCCC1CCCCC1
159,,C1CCCCCC1
160,,C1CCCCCCC1
161,,CCC1CCC(CC)CC1
162,,CCCCC(C)C(C)C
163,,CCCCCCC(C)C(C)C
164,,CCCCCCCC(C)C(C)C
165,,CCCCCCCCC(C)C(C)C
166,,CCCCCCCCCC(C)C(C)C
176,,CC(C)CCCC(C)C
190,,CCC(CC)C(C)(C)C
192,,CCC(C(C)C)C(C)C
202,,C=CC
204,,C=CCC
205,,C/C=C\C
207,,C=C(C)C
208,,C/C(=C\C(C)(C)C)CC(C)(C)C
209,,C=CCCC
210,,C/C=C\CC
211,,C/C=C/CC
212,,C=C(C)CC
213,,C=CC(C)C
214,,CC=C(C)C
216,,C=CCCCC
217,,C/C=C\CCC
218,,C/C=C/CCC
219,,CC/C=C\CC
220,,CC/C=C/CC
221,,C=C(C)CCC
222,,C=CC(C)CC
223,,C=CCC(C)C
224,,CCC=C(C)C
225,,C/C=C(/C)CC
226,,C=CCC(C)CC
227,,C/C=C\C(C)C
228,,C/C=C/C(C)C
229,,C=C(CC)CC
230,,C=C(C)C(C)C
231,,C=CC(C)(C)C
232,,CC(C)=C(C)C
233,,C=C(CC)CCC
234,,C=CCCCCC
235,,C/C=C\CCCC
236,,C/C=C/CCCC
237,,CC/C=C/CCC
239,,C=CC(CC)CC
241,,C=CC(CC)CCC
242,,C=CCC(C)CCC
244,,C/C=C\CCCCCC
245,,C/C=C/CCCCCC
246,,C=CC1CCCCC1
247,,CCC1=CCCCC1
248,,C=C(C)C(C)(C)C
249,,CC/C=C\CCC
250,,C=CCCCCCC
251,,C/C=C/CCCCC
256,,C=C(C)CC(C)(C)C
257,,CC(C)=CC(C)(C)C
258,,C=C(CC)CCCC
259,,C=CCCCCCCC
260,,C=CCCCCCCCC
261,,C=CCCCCCCCCC
262,,C=CCCCCCCCCCC
263,,C=CCCCCCCCCCCC
264,,C=CCCCCCCCCCCCC
265,,C=CCCCCCCCCCCCCC
266,,C=CCCCCCCCCCCCCCC
267,,C=CCCCCCCCCCCCCCCCC
268,,C=CCCCC(C)C
269,,C1=CCCC1
270,,C1=CCCCC1
271,,C/C=C/CCCCCCCCCCCCCCCCC
272,,C/C=C/CCCCCCCCCCCC
276,,C/C=C\CCCCC
277,,CC/C=C/CCCC
279,,CCC/C=C/CCC
281,,C=CCCCCCCCCCCCCCCC
283,,C=CCCCCCCCCCCCCCCCCC
285,,C=CC1CC=CCC1
286,,CC1=CCCC1
287,,CC1C=CCC1
288,,CC1CC=CC1
289,,C=C(C)C(C)CCC
290,,C=C(C)C1CC=C(C)CC1
291,,CC1=CCC(=C(C)C)CC1
292,,C=CCC1=CCCCC1
303,,C=CC=C
304,,C=C=CCC
305,,C=C/C=C\C
306,,C=C/C=C/C
307,,C=CCC=C
308,,CC=C=CC
309,,C=CC(=C)C
311,,C=C=C(C)C
313,,C=CCC=CC
315,,C1=CCC=C1
317,,CC1=CCC(C(C)C)C=C1
318,,C=C1C=CC(C(C)C)CC1
321,,C=CC(C)C=C
322,,C1=CCCC=CCCC=CCC1
331,,C1=CCCC=C1
332,,C1=CCC=CC1
333,,C1=CCCC=CCC1
340,,C=C/C=C/CC
341,,C=C(C)/C=C/C
342,,C=CCCCCCCC=C
343,,C1=CC=CC=CC=C1
403,,C#CCC
404,,CC#CC
405,,C#CCCC
408,,C#CC(C)(C)C
412,,CC#CCC
413,,C#CCCCC
416,,C#CCCCCCC
419,,C#CC(C)C
426,,C#CCCCCCCC
427,,C#CCCCCCCCC
501,,c1ccccc1
502,,Cc1ccccc1
503,,CC1CCc2ccccc21
504,,CCc1ccccc1
505,,Cc1ccccc1C
506,,Cc1cccc(C)c1
507,,Cc1ccc(C)cc1
508,,Cc1ccc2c(c1)CCC2
509,,CCCc1ccccc1
510,,CC(C)c1ccccc1
511,,CCc1ccccc1C
512,,CCc1cccc(C)c1
513,,CCc1ccc(C)cc1
514,,Cc1cccc(C)c1C
515,,Cc1ccc(C)c(C)c1
516,,Cc1cc(C)cc(C)c1
517,,Cc1cc(C(C)C)cc(C(C)C)c1
518,,CCCCc1ccccc1
519,,CC(C)Cc1ccccc1
520,,CCC(C)c1ccccc1
521,,CC(C)(C)c1ccccc1
522,,Cc1ccccc1C(C)C
523,,Cc1cccc(C(C)C)c1
524,,Cc1ccc(C(C)C)cc1
525,,CCc1ccccc1CC
526,,CCc1cccc(CC)c1
527,,CCc1ccc(CC)cc1
530,,Cc1ccc(C)c(C)c1C
531,,Cc1cc(C)c(C)c(C)c1
535,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
