smiles,Tc,Train/Valid/Test
C=C(CC)C(C)=CC,,Train
CCCCC(=O)c1ccccc1,,Train
Cc1cc(C)c(C(=O)c2c(C)cc(C)cc2O)c(C)c1,,Train
CCCC=C(C=Cc1ccccc1)CC,,Train
CCCCC(CC)CC(C)CC(C)C(=O)O,,Train
CC(O)CCC(C)OCCC1CCCCC1,,Test
CCCCCOC(C)(C)C,,Train
CCCCCCCCCC(C)CCCCC,,Train
C1CCc2c(oc3c2CCCC3)C1,,Train
CCC(C)(CC(C)(CC)C(C)C)C(C)C,,Train
CCC(CC)C(C)(C)CC(C)(C)C(C)C,,Train
CCCCCCC(O)(C(C)(C)C)C(C)(C)C,,Train
CCCC(C)CCCC(C)CCCC(C)O,,Train
C=C(C)C=C(C)CC(C)(C)CC(C)(C)C,,Test
CC=C(C)C(O)CC,,Train
O=C1CCCCC1=C1CCCCC1,,Train
CC(C)(C)c1ccc(C(C)(C)C)cc1,,Train
CC(C)(C)c1ccccc1C(C)(C)C,,Train
c1ccc2c3c(ccc2c1)CCCC3,,Train
CCCC(CC(OCC)OCC)OCC,,Train
Cc1cccc2cc(C(C)C)ccc12,,Train
CCCCC(C=CC(C)=O)CC,,Train
CCOC(=O)C1CC2C=CC1C2,,Valid
CC(C=O)=Cc1ccccc1,,Train
COC(=O)Cc1ccccc1,,Test
CCC(C)C(C)CO,,Test
CCCCC(CC)C(CC(C)C)CC(C)C,,Train
CCCCCCCCCCCC(O)(CC)CC,,Train
C(CCCOCC1CCC1)CCOCC1CCC1,,Train
CCCCC(CC)COCC(CC)CCCC,,Valid
C=C(C)C(=O)OC1CCCCC1,,Valid
CCC(C)c1ccc(C(C)CC)cc1,,Train
CCCCCC1CCCCC1CCCC,,Train
CCCCCCCCCCC(CCC)C(=O)O,,Test
CC(C)(C)c1cccc(C(C)(C)C)c1,,Train
COC1=C2CCCCC2CCC1,,Train
C=C(C)C=CCC(=O)OC,,Train
CC1CCC(CO)C1C,,Test
CC(C)CC(C1CCCCC1)C1CCCCC1,,Train
CCCCOC(C)CCCC,,Valid
C=C(C=C(C)C(C)(C)C)c1ccc(CC)cc1,,Train
C=COCCCCCCCCC,,Train
CCCCCCC(CCO)CCCO,,Test
CCCCC(CCCC)CCc1ccccc1,,Train
CCCCCC(C)CCCC(C)CCCC(C)=O,,Train
CCCCCCCC(C)(CCC)CC(=O)CCC,,Test
CCC(C)(CC(C)(CC)C(C)(C)CC)C(C)C,,Test
CCCCCCCCC(C)CC(C)CC(C)C,,Train
c1ccc(Cc2ccccc2)cc1,,Train
CCC(C1CCCCC1)C(CC)C1CCCCC1,,Train
CCCCCCCCCC(C)CC(C)CC(C)C,,Train
CCCCCCOC(C)CCC(C)OCCCCCC,,Train
CCC(OC(CC)C1CCCCC1)C1CCCCC1,,Train
C(CCCOC1CCCCC1)CCOC1CCCCC1,,Train
C(CCCOCC1CCCC1)CCOCC1CCCC1,,Valid
C=CC(OC(C=C)C1CC=CCC1)C1CC=CCC1,,Test
CC=C(C)C=C(C)CC,,Valid
CCOC(=O)Cc1ccccc1,,Train
CCCC(CC)C(c1ccccc1)c1ccccc1,,Train
CCC(C)CCCC(C)CCCC(C)CCCC(C)=O,,Test
CCCCCC(C)CCCC(C)CCCC(C)=CCO,,Train
CCCCCCCCCCC(C)CC(C)CC(C)C,,Train
CCCC(C)c1ccc(C(C)CCC)cc1,,Train
CCCC(O)(CCC)C(C)(C)C,,Valid
CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1,,Train
CCCCCCCCCCC(C)O,,Train
CCCCCCCCCC(O)CC,,Train
CCCCCCCCC(O)CCC,,Train
CCCCCCCC(O)CCCC,,Train
CCCC(C)c1cccc(C(C)CCC)c1,,Train
O=C(Cc1ccccc1)Cc1ccccc1,,Train
O=C(Oc1ccccc1)Oc1ccccc1,,Train
CCCCCCCCCCCC(C)CC(C)CC(C)C,,Test
CCCCCCC(C)C(C)C(C)C(C)CCCCCC,,Train
CCCCCCC(CCC)C(CCC)CCCCCC,,Valid
CCC(CC(C)(CC)c1ccccc1)c1ccccc1,,Train
CC(C)(C)C1CCCCCCC1,,Train
O=C1C2CCC1CC2,,Train
CC12CCC(CC1=O)C2,,Test
Cc1cc(C)c(C(C)C)cc1C,,Train
CCc1ccc(C(C)c2ccc(CC)cc2)cc1,,Train
CCc1cc(CC)cc(CC)c1,,Train
CCCCC(C)CC(=O)OCC,,Train
CCCCCCCCCCCC(=O)OC(C)C,,Test
CCC1(O)CCCCC1C,,Train
CC(=O)C(C(C)=O)C12CC3CC(CC(C3)C1)C2,,Train
CCCCCCC(C)C(C1CCCCC1)C1CCCCC1,,Train
