smiles,temperature,source,total_atoms,predicted,predicted_stddev
CC(=O)OC(C)OC(C)=O,,DIPPR,10,51.017544,3.4172935
CC(=O)OC1CC(C)OC(C)O1,,DIPPR,12,45.08994,3.1598496
CC(=O)OC1CCCCC1,,DIPPR,10,48.95901,3.3902645
CC(=O)OCC(C)C,,DIPPR,8,42.556137,2.7027874
CC(=O)OCC(COC(C)=O)OC(C)=O,,DIPPR,15,69.328636,5.905409
CC(=O)OCC1OC(OC2(COC(=O)C(C)C)OC(COC(C)=O)C(OC(=O)C(C)C)C2OC(=O)C(C)C)C(OC(=O)C(C)C)C(OC(=O)C(C)C)C1OC(=O)C(C)C,,DIPPR,59,77.56112,8.458414
CC(=O)OCCC(C)C,,DIPPR,9,46.889313,3.0145144
CC(=O)OCCOC(C)=O,,DIPPR,10,53.333508,3.5735922
CC(=O)OCc1ccccc1,,DIPPR,11,55.672455,3.4995518
CC(=O)OO,,DIPPR,5,61.58069,9.049858
CC(=O)Oc1ccccc1,,DIPPR,10,49.832207,2.588077
CC(=O)Oc1ccccc1C(=O)O,,DIPPR,13,65.611374,5.761636
CC(=O)c1ccc(O)cc1,,DIPPR,10,63.210827,5.1392336
CC(=O)c1ccccc1,,DIPPR,9,51.81587,3.6988978
CC(=O)c1ccccc1O,,DIPPR,10,59.337635,5.8325386
CC(C)(C)C(=O)O,,DIPPR,7,59.233727,6.5816207
CC(C)(C)C(C)(C)C,,DIPPR,8,35.70539,3.209075
CC(C)(C)C1CCCCC1,,DIPPR,10,46.977135,5.182972
CC(C)(C)CC(C)(C)C,,DIPPR,9,39.39735,3.5697126
CC(C)(C)CO,,DIPPR,6,52.618416,4.631019
CC(C)(C)O,,DIPPR,5,45.551003,3.9854217
CC(C)(C)OC(C)(C)C,,DIPPR,9,37.36297,2.2536197
CC(C)(C)OC=O,,DIPPR,7,38.815346,3.9805121
CC(C)(C)OO,,DIPPR,6,67.5086,10.8966
CC(C)(C)OOC(C)(C)C,,DIPPR,10,36.550785,2.8979206
CC(C)(C)c1cc(O)ccc1O,,DIPPR,12,65.494354,6.258034
CC(C)(C)c1ccc(O)c(O)c1,,DIPPR,12,69.62582,6.812816
CC(C)(C)c1ccc(O)cc1,,DIPPR,11,60.036373,4.915118
CC(C)(C)c1ccccc1,,DIPPR,10,45.14499,3.0595598
CC(C)(CO)CO,,DIPPR,7,66.74204,6.8986835
CC(C)(O)c1ccccc1,,DIPPR,10,54.205383,4.086022
CC(C)(OO)c1ccccc1,,DIPPR,11,66.85296,6.2126384
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,,DIPPR,20,84.27026,12.070515
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,,DIPPR,17,78.51807,7.6806173
CC(C)(c1ccccc1)c1ccc(O)cc1,,DIPPR,16,69.84738,6.028112
CC(C)=C(C)C,,DIPPR,6,33.822296,2.1678047
CC(C)=CC(C)(C)C,,DIPPR,8,36.063187,2.8440452
CC(C)=CC=C(C)C,,DIPPR,8,42.917534,3.9523945
CC(C)=O,,DIPPR,4,32.860947,2.8585806
CC(C)C(=O)C(C)C,,DIPPR,8,42.44319,3.1731954
CC(C)C(=O)O,,DIPPR,6,53.317184,5.522896
CC(C)C(=O)OC(=O)C(C)C,,DIPPR,11,53.310852,3.707789
CC(C)C(=O)OCC(C)(C)C(O)C(C)C,,DIPPR,15,62.617794,5.4508944
CC(C)C(=O)OCC(C)(C)C(OC(=O)C(C)C)C(C)C,,DIPPR,20,87.53659,10.274043
CC(C)C(C)(C)C(C)C,,DIPPR,9,41.21799,2.5477986
CC(C)C(C)C(C)(C)C,,DIPPR,9,40.420967,2.7015324
CC(C)C(C)C(C)C,,DIPPR,8,38.793533,2.2881699
CC(C)C(C)O,,DIPPR,6,47.622368,3.5362492
CC(C)C(O)C(C)(C)CO,,DIPPR,10,64.878365,6.3793325
CC(C)C1CCCCC1,,DIPPR,9,43.620895,3.5138173
