DIPPR ID,Cp_liq_298K,smiles,temperature,total_atoms,predicted,predicted_stddev
1259,2063.4687309235514,CCCCCCCCC(=O)O,298.15,11,80.633385,11.166315
1345,2026.7849815553109,CCCCCCCCC(=O)OCCCC,298.15,15,74.78268,7.5155134
128,2188.719202902299,CCCCCCCCC(C)C,298.15,11,53.85086,4.0008774
165,2171.3623530592613,CCCCCCCCC(C)C(C)C,298.15,13,64.03095,6.281269
100,2185.346124193088,CCCCCCCCC(C)CC,298.15,12,59.5753,5.378811
3101,2188.5771149883712,CCCCCCCCC(CO)CCCC,298.15,15,85.3151,10.691741
3321,2031.961506993056,CCCCCCCCC=CCCCCCCCC(=O)OCC,298.15,22,102.208275,14.789393
1011,2186.040081013643,CCCCCCCCC=O,298.15,10,58.10208,6.5576496
56,2215.565237215884,CCCCCCCCCC,298.15,10,50.173145,2.4151888
1395,1993.3916695107664,CCCCCCCCCC(=O)OC,298.15,13,68.57927,6.841786
3328,2019.9298432289395,CCCCCCCCCC(=O)OCC,298.15,14,71.22829,6.9902005
129,2185.346124193088,CCCCCCCCCC(C)C,298.15,12,58.019924,4.837205
166,2168.037708417338,CCCCCCCCCC(C)C(C)C,298.15,14,68.445465,7.036435
98,2180.7043072411543,CCCCCCCCCC(C)CC,298.15,13,63.973446,6.229531
1165,2215.304135880477,CCCCCCCCCC(C)CO,298.15,13,78.77609,9.426535
131,2176.769309670991,CCCCCCCCCC(CC)CC,298.15,14,67.65865,6.9875374
1020,2180.5622540983945,CCCCCCCCCC=O,298.15,11,61.975857,7.207818
63,2213.994971051849,CCCCCCCCCCC,298.15,11,54.4963,3.4576263
130,2180.7043072411543,CCCCCCCCCCC(C)C,298.15,13,62.473316,5.67769
99,2176.769309670991,CCCCCCCCCCC(C)CC,298.15,14,68.78679,7.0391684
3103,2191.868650099224,CCCCCCCCCCC(C)CO,298.15,14,83.54794,10.459067
158,2015.791891277916,CCCCCCCCCCC1CCCCC1,298.15,16,76.57626,9.273847
64,2207.72848119806,CCCCCCCCCCCC,298.15,12,58.550568,4.423564
2385,2036.5773373159348,CCCCCCCCCCCC(=O)OC,298.15,15,78.42968,8.432888
3329,2032.797923041572,CCCCCCCCCCCC(=O)OCC,298.15,16,81.898026,8.83568
132,2176.769309670991,CCCCCCCCCCCC(C)C,298.15,14,67.192635,6.527226
3102,2191.911911773241,CCCCCCCCCCCC(C)CO,298.15,15,88.687614,11.499784
65,2214.63880138207,CCCCCCCCCCCCC,298.15,13,63.709557,5.420559
66,2210.9907093355173,CCCCCCCCCCCCCC,298.15,14,68.899345,6.328556
3310,2056.6016033083006,CCCCCCCCCCCCCC(=O)OC,298.15,17,88.47321,10.574068
1396,2034.3072843882148,CCCCCCCCCCCCCC(=O)OC(C)C,298.15,19,91.549416,11.16362
3330,2042.8896315800105,CCCCCCCCCCCCCC(=O)OCC,298.15,18,90.99822,10.813154
67,2217.271482218709,CCCCCCCCCCCCCCC,298.15,15,74.38376,7.191538
68,2211.007877118213,CCCCCCCCCCCCCCCC,298.15,16,79.18261,7.946642
3327,2042.7715863232747,CCCCCCCCCCCCCCCC(=O)OC(C)C,298.15,21,98.42071,12.766008
3320,2050.924687379132,CCCCCCCCCCCCCCCC(=O)OCC,298.15,20,98.2918,12.397635
69,2214.207046351152,CCCCCCCCCCCCCCCCC,298.15,17,83.68107,8.765702
2575,1928.626748691374,CCCCCCCCCCCCCCCc1ccccc1,298.15,21,99.59641,13.900843
573,1913.4339737571745,CCCCCCCCCCCCCCc1ccccc1,298.15,20,96.444664,12.920375
1140,2309.8898078719963,CCCCCCCCCCCCO,298.15,13,80.76138,9.80351
1137,2323.7103251531403,CCCCCCCCCCCO,298.15,12,76.3006,8.805941
1399,1870.445712037608,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,298.15,30,115.10233,16.531096
